case,nit_noP,nit_P,adj_nit_noP,adj_nit_P
rdb5000,maximum number of iterations exceeded,maximum number of iterations exceeded,solution good enough given atol and rtol,solution good enough given atol and rtol
rdb968,maximum number of iterations exceeded,maximum number of iterations exceeded,solution good enough given atol and rtol,solution good enough given atol and rtol
rw136,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
rw496,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
rw5151,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
tub100,maximum number of iterations exceeded,maximum number of iterations exceeded,solution good enough given atol and rtol,solution good enough given atol and rtol
tub1000,maximum number of iterations exceeded,maximum number of iterations exceeded,solution good enough given atol and rtol,solution good enough given atol and rtol
cryg10000,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
cryg2500,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
dw2048,maximum number of iterations exceeded,maximum number of iterations exceeded,solution good enough given atol and rtol,solution good enough given atol and rtol
dw8192,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
dwa512,maximum number of iterations exceeded,maximum number of iterations exceeded,solution good enough given atol and rtol,solution good enough given atol and rtol
dwb512,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
mhd3200a,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
mhd4800a,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
qh1484,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
qh768,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
rdb1250,maximum number of iterations exceeded,maximum number of iterations exceeded,solution good enough given atol and rtol,solution good enough given atol and rtol
rdb1250l,maximum number of iterations exceeded,maximum number of iterations exceeded,solution good enough given atol and rtol,solution good enough given atol and rtol
rdb200,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
rdb200l,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
rdb2048_noL,maximum number of iterations exceeded,maximum number of iterations exceeded,solution good enough given atol and rtol,solution good enough given atol and rtol
rdb3200l,maximum number of iterations exceeded,maximum number of iterations exceeded,solution good enough given atol and rtol,solution good enough given atol and rtol
rdb450,maximum number of iterations exceeded,maximum number of iterations exceeded,solution good enough given atol and rtol,solution good enough given atol and rtol
rdb450l,maximum number of iterations exceeded,maximum number of iterations exceeded,solution good enough given atol and rtol,solution good enough given atol and rtol
rdb800l,maximum number of iterations exceeded,maximum number of iterations exceeded,solution good enough given atol and rtol,solution good enough given atol and rtol
tols1090,solution good enough given atol and rtol,solution good enough given atol and rtol,maximum number of iterations exceeded,maximum number of iterations exceeded
tols2000,solution good enough given atol and rtol,solution good enough given atol and rtol,maximum number of iterations exceeded,maximum number of iterations exceeded
tols340,solution good enough given atol and rtol,solution good enough given atol and rtol,maximum number of iterations exceeded,maximum number of iterations exceeded
tols4000,solution good enough given atol and rtol,solution good enough given atol and rtol,maximum number of iterations exceeded,maximum number of iterations exceeded
tols90,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
